id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
323750,2013-06-09,2013-06-09,,Eastern Time (US & Canada),12036,zaccota,2013-07-07 14:27:45 UTC,2016-06-23 02:48:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/323750,,https://static.inaturalist.org/sounds/118.m4a?1502823780,"","I followed the sound deep into a thick stand of cedars. Able to see the raven, but too wooded to get a clear picture. ",2,0,false,,"Starksboro, VT  ",44.251347,-73.066978,190,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
479092,2013-12-07,2013-12-07,,Eastern Time (US & Canada),3733,james5,2013-12-10 02:57:22 UTC,2018-11-17 22:16:56 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/479092,,https://static.inaturalist.org/sounds/649.m4a?1502824499,"","",1,0,false,,Mount Rogers,36.659841,-81.544557,3481,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
1235980,2015-02-04,2015-02-04,,Eastern Time (US & Canada),12158,erikamitchell,2015-02-15 17:48:09 UTC,2016-06-24 00:33:03 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1235980,,https://static.inaturalist.org/sounds/2212.mp3?1502827113,"","",2,0,false,,paine mt northfield vt,44.134197,-72.644272,,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
1344159,2015-03-27 at 11:04 am,2015-03-27,2015-03-27 18:04:00 UTC,Pacific Time (US & Canada),32423,pkleeman,2015-03-28 01:34:28 UTC,2015-03-28 15:47:59 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1344159,https://static.inaturalist.org/photos/1663042/medium.png?1427506509,https://static.inaturalist.org/sounds/2510.mp3?1502827470,"","",2,0,false,,"Earthquake trail, olema, ca",38.040943,-122.797975,10,,open,false,,manual,Common Raven,Corvus corax,Common Raven,Aves,8010
1746458,2015-07-11 10:09:40,2015-07-11,2015-07-11 17:09:40 UTC,Pacific Time (US & Canada),12809,cedric_lee,2015-07-12 00:05:05 UTC,2018-01-13 01:24:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1746458,,,"","",2,0,false,,Griffith Park Boys Camp,34.138825,-118.298287,68,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
1769061,2015-07-16,2015-07-16,,Eastern Time (US & Canada),19745,cstragar,2015-07-16 14:59:38 UTC,2017-11-09 21:04:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1769061,,,"","",1,0,false,,"Maryland, US",39.1603006246,-76.9215100732,25,,obscured,true,,,Corvus corax,Corvus corax,Common Raven,Aves,8010
2756858,2016-02-28,2016-02-28,,Pacific Time (US & Canada),10285,finatic,2016-03-08 03:07:58 UTC,2016-03-29 02:35:59 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2756858,https://static.inaturalist.org/photos/3118183/medium.jpg?1457406488,https://static.inaturalist.org/sounds/4822.mp3?1502855794,"","San Diego County, California, US
",3,0,false,,Otay Mountain ,32.595938,-116.84391,,,open,false,,"",Common Raven,Corvus corax,Common Raven,Aves,8010
2951168,2016-04-16 08:12,2016-04-16,2016-04-16 15:12:00 UTC,Pacific Time (US & Canada),15366,mikepatterson,2016-04-16 21:57:54 UTC,2017-09-24 02:20:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2951168,,https://static.inaturalist.org/sounds/5263.wav?1502868015,"","",2,0,false,,"Coxcomb Hill, Astoria",46.181786,-123.823196,91,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
3653316,Sat Jul 09 2016 09:37:26 GMT-0400 (EDT),2016-07-09,2016-07-09 13:37:26 UTC,Eastern Time (US & Canada),138422,jacobogre,2016-07-10 12:30:46 UTC,2017-11-10 00:28:43 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/3653316,,https://static.inaturalist.org/sounds/6986.m4a?1502902342,"","",1,0,false,3,"Rothrock State Forest, Harris, PA, US",40.7304999652,-77.7706709225,5,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
4645568,2016-11-26,2016-11-26,,Central Time (US & Canada),302869,sansue,2016-11-27 05:40:20 UTC,2016-11-27 21:51:55 UTC,research,CC-BY-NC-ND,http://inaturalist.ca/observations/4645568,,https://static.inaturalist.org/sounds/8686.wav?1502906925,"",Common Raven with Black-capped Chickadees,2,0,false,,"Manitoba, CA",50.3801405687,-96.4695292175,290,obscured,open,true,,,Common Raven,Corvus corax,Common Raven,Aves,8010
