id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
676646,"2014-05-13, 6:30pm",2014-05-13,2014-05-13 22:30:00 UTC,Eastern Time (US & Canada),38391,ahodzic,2014-05-14 04:25:45 UTC,2016-06-23 11:15:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/676646,,,"",30 sec duration: Made distinct call approximately every 6 seconds. ,1,0,false,,"Mill Woods Pond Wethersfield, ct",41.689276,-72.666486,245,,,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
792278,2014-07-19,2014-07-19,,Eastern Time (US & Canada),317,kpmcfarland,2014-07-19 22:12:59 UTC,2016-06-23 13:37:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/792278,,https://static.inaturalist.org/sounds/1625.mp3?1502825472,"","",1,0,false,,Marsh-Billings-Rockefeller NHP,43.631354,-72.519364,,,,false,,"",American Robin,Turdus migratorius,American Robin,Aves,12727
1233606,Fri Feb 13 2015 07:56:15 GMT-0800 (PST),2015-02-13,2015-02-13 15:56:15 UTC,Pacific Time (US & Canada),32423,pkleeman,2015-02-14 01:35:46 UTC,2017-10-04 06:44:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1233606,https://static.inaturalist.org/photos/1552438/medium.png?1423877856,https://static.inaturalist.org/sounds/2194.mp3?1502827099,"","",2,0,false,3,"1 Bear Valley Rd, Point Reyes Station, CA, US",38.043863,-122.798426,3,,,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
1267122,2015-03-02T13:19:51-08:00,2015-03-02,2015-03-02 21:19:51 UTC,Pacific Time (US & Canada),10285,finatic,2015-03-02 21:21:33 UTC,2016-04-04 21:06:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1267122,,https://static.inaturalist.org/sounds/2296.wav?1502827198,"","San Diego County, California, US
2/25/15",1,0,false,,TSRI--Office,32.892997,-117.242053,28,,,false,,"",American Robin,Turdus migratorius,American Robin,Aves,12727
1329780,2015-03-20,2015-03-20,,Central Time (US & Canada),8882,bouteloua,2015-03-23 02:01:17 UTC,2018-06-07 00:21:08 UTC,research,CC0,http://www.inaturalist.org/observations/1329780,,https://static.inaturalist.org/sounds/2443.wav?1502827383,"","",1,0,false,,"DuPage County, US-IL, US",41.787729,-88.221835,122,,,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
1351346,2015-03-30,2015-03-30,,Central Time (US & Canada),18079,lg_price,2015-03-31 00:50:38 UTC,2015-03-31 03:24:56 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/1351346,https://static.inaturalist.org/photos/1671956/medium.jpg?1427763064,https://static.inaturalist.org/sounds/2539.mp3?1502827504,"","Announcing Spring!

Full recording here
https://wordpress.com/post/6935391/181/",2,0,false,,"Boorman Trail, Longview, Texas, USA",32.517754,-94.761511,344,,,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
1391450,Sun Apr 12 2015 16:05:31 GMT-0400 (EDT),2015-04-12,2015-04-12 20:05:31 UTC,Eastern Time (US & Canada),39965,mike_uvm,2015-04-13 19:45:36 UTC,2016-07-31 01:15:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1391450,,https://static.inaturalist.org/sounds/2702.wav?1502840612,"",Site 15 and 16.  Other species as well. ,1,0,false,3,"Chittenden County, US-VT, US",44.464772,-73.190722,5,,,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
1391451,Mon Apr 13 2015 07:56:38 GMT-0400 (EDT),2015-04-13,2015-04-13 11:56:38 UTC,Eastern Time (US & Canada),39965,mike_uvm,2015-04-13 19:45:37 UTC,2016-06-24 04:56:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1391451,,https://static.inaturalist.org/sounds/2701.wav?1502840610,"",Site 17 - blue jay as well,1,0,false,3,"",44.486775,-73.220309,10,,,false,,,american robin,Turdus migratorius,American Robin,Aves,12727
1718086,2015-07-02,2015-07-02,,Pacific Time (US & Canada),12809,cedric_lee,2015-07-03 05:53:11 UTC,2016-04-04 01:45:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1718086,,,"","",1,0,false,,Gabrieleno  Trail,34.19908,-118.165731,202,,,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
2188775,Sun Oct 18 2015 10:00:30 GMT-0700 (PDT),2015-10-18,2015-10-18 17:00:30 UTC,Pacific Time (US & Canada),13710,brook,2015-10-18 21:07:06 UTC,2020-02-11 20:07:12 UTC,research,CC-BY,http://www.inaturalist.org/observations/2188775,,https://static.inaturalist.org/sounds/4154.m4a?1502855222,"",Madrone forest canopy,1,0,false,3,"95449, Hopland, CA, US",39.033429,-123.089461,30,,,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
